img_resolution 32
Files already downloaded and verified
img_resolution 32
Files already downloaded and verified
cifar_noniid 50000 100 dir
5000 41000 4000
cifar_noniid 10000 100 dir
0 6000 4000
kd_idx len 5000 out of 5000
Successfully loaded weights from pretrained resnet
self.update_layer_name was defined. ['adapter', 'bn1', 'bn2', 'fc.weight', 'fc.bias']
local finetune 확인####################: False
personalized cli 4 ep 0 batch 168  train Loss: 4.263 | Acc:36.686% | total 2704
personalized cli 12 ep 0 batch 167  train Loss: 4.374 | Acc:31.436% | total 2688
personalized cli 12 ep 1 batch 167  train Loss: 4.298 | Acc:39.100% | total 2688
personalized cli 12 ep 2 batch 167  train Loss: 4.334 | Acc:40.104% | total 2688
personalized cli 12 ep 3 batch 167  train Loss: 4.265 | Acc:45.833% | total 2688
personalized cli 12 ep 4 batch 167  train Loss: 4.304 | Acc:43.973% | total 2688
personalized cli 12 ep 5 batch 167  train Loss: 4.355 | Acc:45.052% | total 2688
personalized cli 12 ep 6 batch 167  train Loss: 4.375 | Acc:46.875% | total 2688
personalized cli 12 ep 7 batch 167  train Loss: 4.408 | Acc:47.693% | total 2688
personalized cli 12 ep 8 batch 167  train Loss: 4.404 | Acc:46.987% | total 2688
personalized cli 12 ep 9 batch 167  train Loss: 4.394 | Acc:48.065% | total 2688
cli 12 ep 0 batch 167  train Loss: 3.108 | Acc:30.432% | total 2688
cli 12 ep 1 batch 167  train Loss: 2.437 | Acc:39.658% | total 2688
cli 12 ep 2 batch 167  train Loss: 2.152 | Acc:46.057% | total 2688
cli 12 ep 3 batch 167  train Loss: 1.963 | Acc:49.442% | total 2688
cli 12 ep 4 batch 167  train Loss: 1.872 | Acc:52.307% | total 2688
cli 12 ep 5 batch 167  train Loss: 1.833 | Acc:51.823% | total 2688
cli 12 ep 6 batch 167  train Loss: 1.739 | Acc:53.571% | total 2688
cli 12 ep 7 batch 167  train Loss: 1.736 | Acc:55.022% | total 2688
cli 12 ep 8 batch 167  train Loss: 1.667 | Acc:57.143% | total 2688
cli 12 ep 9 batch 167  train Loss: 1.596 | Acc:57.366% | total 2688
personalized cli 14 ep 0 batch 115  train Loss: 4.619 | Acc:26.347% | total 1856
personalized cli 14 ep 1 batch 115  train Loss: 4.536 | Acc:38.362% | total 1856
personalized cli 14 ep 2 batch 115  train Loss: 4.518 | Acc:42.241% | total 1856
personalized cli 14 ep 3 batch 115  train Loss: 4.502 | Acc:44.397% | total 1856
personalized cli 14 ep 4 batch 115  train Loss: 4.555 | Acc:44.127% | total 1856
personalized cli 14 ep 5 batch 115  train Loss: 4.571 | Acc:46.336% | total 1856
personalized cli 14 ep 6 batch 115  train Loss: 4.561 | Acc:48.276% | total 1856
personalized cli 14 ep 7 batch 115  train Loss: 4.621 | Acc:47.306% | total 1856
personalized cli 14 ep 8 batch 115  train Loss: 4.607 | Acc:48.976% | total 1856
personalized cli 14 ep 9 batch 115  train Loss: 4.657 | Acc:49.030% | total 1856
cli 14 ep 0 batch 115  train Loss: 3.586 | Acc:26.778% | total 1856
cli 14 ep 1 batch 115  train Loss: 2.650 | Acc:39.925% | total 1856
cli 14 ep 2 batch 115  train Loss: 2.397 | Acc:43.373% | total 1856
cli 14 ep 3 batch 115  train Loss: 2.249 | Acc:45.905% | total 1856
cli 14 ep 4 batch 115  train Loss: 2.050 | Acc:50.539% | total 1856
cli 14 ep 5 batch 115  train Loss: 2.024 | Acc:50.916% | total 1856
cli 14 ep 6 batch 115  train Loss: 1.937 | Acc:52.425% | total 1856
cli 14 ep 7 batch 115  train Loss: 1.800 | Acc:54.041% | total 1856
cli 14 ep 8 batch 115  train Loss: 1.783 | Acc:53.610% | total 1856
cli 14 ep 9 batch 115  train Loss: 1.696 | Acc:57.166% | total 1856
FedAveraging update ['adapter', 'bn1', 'bn2', 'fc.weight', 'fc.bias']
서버 모델의 총 파라미터 수: 12,628,132
서버 모델의 학습 가능한 파라미터 수: 1,459,428
init_perf_on_val:  10.12
use kd dataset cifar100
Server Batch[000/500] KD:0.4083 ValAcc3.9
Server Batch[001/500] KD:0.7573 ValAcc2.92
Server Batch[002/500] KD:0.5634 ValAcc4.78
Server Batch[003/500] KD:0.4973 ValAcc4.86
Server Batch[004/500] KD:0.4486 ValAcc5.78
Server Batch[005/500] KD:0.4393 ValAcc6.96
Server Batch[006/500] KD:0.3861 ValAcc6.96
Server Batch[007/500] KD:0.3567 ValAcc6.96
Server Batch[008/500] KD:0.3689 ValAcc6.34
Server Batch[009/500] KD:0.3296 ValAcc6.72
Server Batch[010/500] KD:0.3275 ValAcc6.82
Server Batch[011/500] KD:0.3227 ValAcc6.92
Server Batch[012/500] KD:0.3215 ValAcc7.24
Server Batch[013/500] KD:0.2816 ValAcc7.8
Server Batch[014/500] KD:0.2822 ValAcc8.58
Server Batch[015/500] KD:0.2766 ValAcc8.98
Server Batch[016/500] KD:0.2550 ValAcc9.02
Server Batch[017/500] KD:0.2557 ValAcc9.5
Server Batch[018/500] KD:0.2385 ValAcc9.4
Server Batch[019/500] KD:0.2321 ValAcc9.7
Server Batch[020/500] KD:0.2389 ValAcc10.18
Server Batch[021/500] KD:0.2330 ValAcc10.3
Server Batch[022/500] KD:0.2174 ValAcc10.44
Server Batch[023/500] KD:0.2089 ValAcc10.38
Server Batch[024/500] KD:0.2001 ValAcc10.28
Server Batch[025/500] KD:0.1973 ValAcc10.52
Server Batch[026/500] KD:0.1958 ValAcc11.04
Server Batch[027/500] KD:0.1815 ValAcc11.24
Server Batch[028/500] KD:0.1809 ValAcc10.94
Server Batch[029/500] KD:0.1725 ValAcc11.38
Server Batch[030/500] KD:0.1685 ValAcc11.34
Server Batch[031/500] KD:0.1721 ValAcc11.9
Server Batch[032/500] KD:0.1557 ValAcc12.46
Server Batch[033/500] KD:0.1572 ValAcc13.2
Server Batch[034/500] KD:0.1558 ValAcc13.28
Server Batch[035/500] KD:0.1871 ValAcc14.0
Server Batch[036/500] KD:0.1532 ValAcc13.54
Server Batch[037/500] KD:0.1476 ValAcc13.2
Server Batch[038/500] KD:0.1458 ValAcc13.5
Server Batch[039/500] KD:0.1440 ValAcc13.32
Server Batch[040/500] KD:0.1407 ValAcc13.32
Server Batch[041/500] KD:0.1489 ValAcc13.86
Server Batch[042/500] KD:0.1367 ValAcc14.0
Server Batch[043/500] KD:0.1334 ValAcc14.28
Server Batch[044/500] KD:0.1315 ValAcc14.2
Server Batch[045/500] KD:0.1311 ValAcc14.46
Server Batch[046/500] KD:0.1241 ValAcc14.7
Server Batch[047/500] KD:0.1191 ValAcc15.02
Server Batch[048/500] KD:0.1170 ValAcc14.92
Server Batch[049/500] KD:0.1195 ValAcc14.72
Server Batch[050/500] KD:0.1105 ValAcc14.52
Server Batch[051/500] KD:0.1174 ValAcc15.36
Server Batch[052/500] KD:0.1114 ValAcc15.44
Server Batch[053/500] KD:0.1100 ValAcc15.48
Server Batch[054/500] KD:0.1073 ValAcc15.96
Server Batch[055/500] KD:0.1068 ValAcc16.12
Server Batch[056/500] KD:0.1103 ValAcc15.68
Server Batch[057/500] KD:0.1039 ValAcc16.34
Server Batch[058/500] KD:0.1030 ValAcc16.26
Server Batch[059/500] KD:0.1038 ValAcc16.32
Server Batch[060/500] KD:0.1001 ValAcc16.42
Server Batch[061/500] KD:0.1025 ValAcc16.54
Server Batch[062/500] KD:0.0950 ValAcc16.44
Server Batch[063/500] KD:0.0966 ValAcc17.02
Server Batch[064/500] KD:0.0969 ValAcc16.68
Server Batch[065/500] KD:0.0967 ValAcc17.26
Server Batch[066/500] KD:0.0941 ValAcc16.9
Server Batch[067/500] KD:0.0901 ValAcc17.44
Server Batch[068/500] KD:0.0933 ValAcc17.34
Server Batch[069/500] KD:0.0892 ValAcc17.16
Server Batch[070/500] KD:0.0881 ValAcc17.46
Server Batch[071/500] KD:0.0922 ValAcc17.82
Server Batch[072/500] KD:0.0854 ValAcc17.62
Server Batch[073/500] KD:0.0856 ValAcc17.32
Server Batch[074/500] KD:0.0851 ValAcc17.56
Server Batch[075/500] KD:0.0838 ValAcc17.58
Server Batch[076/500] KD:0.0859 ValAcc17.14
Server Batch[077/500] KD:0.0828 ValAcc17.44
Server Batch[078/500] KD:0.0862 ValAcc17.72
Server Batch[079/500] KD:0.0821 ValAcc18.1
Server Batch[080/500] KD:0.0831 ValAcc17.98
Server Batch[081/500] KD:0.0834 ValAcc18.22
Server Batch[082/500] KD:0.0826 ValAcc18.02
Server Batch[083/500] KD:0.0831 ValAcc17.74
Server Batch[084/500] KD:0.0815 ValAcc17.94
Server Batch[085/500] KD:0.0773 ValAcc17.94
Server Batch[086/500] KD:0.0826 ValAcc18.42
Server Batch[087/500] KD:0.0793 ValAcc18.72
Server Batch[088/500] KD:0.0790 ValAcc18.52
Server Batch[089/500] KD:0.0757 ValAcc18.74
Server Batch[090/500] KD:0.0746 ValAcc18.74
Server Batch[091/500] KD:0.0786 ValAcc18.86
Server Batch[092/500] KD:0.0774 ValAcc19.0
Server Batch[093/500] KD:0.0742 ValAcc18.92
Server Batch[094/500] KD:0.0765 ValAcc18.8
Server Batch[095/500] KD:0.0845 ValAcc19.4
Server Batch[096/500] KD:0.0746 ValAcc19.5
Server Batch[097/500] KD:0.0750 ValAcc19.0
Server Batch[098/500] KD:0.0800 ValAcc19.1
Server Batch[099/500] KD:0.0745 ValAcc19.0
Server Batch[100/500] KD:0.0743 ValAcc18.64
Server Batch[101/500] KD:0.0744 ValAcc18.8
Server Batch[102/500] KD:0.0743 ValAcc18.22
Server Batch[103/500] KD:0.0696 ValAcc18.98
Server Batch[104/500] KD:0.0726 ValAcc19.06
Server Batch[105/500] KD:0.0732 ValAcc18.68
Server Batch[106/500] KD:0.0729 ValAcc19.1
Server Batch[107/500] KD:0.0735 ValAcc19.46
Server Batch[108/500] KD:0.0714 ValAcc19.5
Server Batch[109/500] KD:0.0711 ValAcc19.28
Server Batch[110/500] KD:0.0725 ValAcc18.98
Server Batch[111/500] KD:0.0699 ValAcc19.2
Server Batch[112/500] KD:0.0714 ValAcc18.82
Server Batch[113/500] KD:0.0704 ValAcc19.06
Server Batch[114/500] KD:0.0698 ValAcc18.62
Server Batch[115/500] KD:0.0680 ValAcc19.58
Server Batch[116/500] KD:0.0646 ValAcc19.6
Server Batch[117/500] KD:0.0672 ValAcc19.74
Server Batch[118/500] KD:0.0887 ValAcc19.46
Server Batch[119/500] KD:0.0675 ValAcc19.5
Server Batch[120/500] KD:0.0688 ValAcc19.88
Server Batch[121/500] KD:0.0689 ValAcc19.68
Server Batch[122/500] KD:0.0725 ValAcc19.74
Server Batch[123/500] KD:0.0681 ValAcc19.38
Server Batch[124/500] KD:0.0665 ValAcc19.78
Server Batch[125/500] KD:0.0688 ValAcc19.26
Server Batch[126/500] KD:0.0684 ValAcc19.54
Server Batch[127/500] KD:0.0661 ValAcc19.36
Server Batch[128/500] KD:0.0678 ValAcc18.8
Server Batch[129/500] KD:0.0680 ValAcc19.5
Server Batch[130/500] KD:0.0647 ValAcc19.26
Server Batch[131/500] KD:0.0670 ValAcc19.92
Server Batch[132/500] KD:0.0676 ValAcc19.84
Server Batch[133/500] KD:0.0651 ValAcc20.2
Server Batch[134/500] KD:0.0652 ValAcc20.38
Server Batch[135/500] KD:0.0644 ValAcc20.32
Server Batch[136/500] KD:0.0648 ValAcc20.16
Server Batch[137/500] KD:0.0642 ValAcc19.68
Server Batch[138/500] KD:0.0640 ValAcc20.28
Server Batch[139/500] KD:0.0624 ValAcc19.24
Server Batch[140/500] KD:0.0646 ValAcc19.54
Server Batch[141/500] KD:0.0617 ValAcc19.94
Server Batch[142/500] KD:0.0629 ValAcc20.46
Server Batch[143/500] KD:0.0654 ValAcc20.58
Server Batch[144/500] KD:0.0652 ValAcc20.76
Server Batch[145/500] KD:0.0636 ValAcc20.88
Server Batch[146/500] KD:0.0604 ValAcc20.7
Server Batch[147/500] KD:0.0608 ValAcc20.64
Server Batch[148/500] KD:0.0611 ValAcc20.32
Server Batch[149/500] KD:0.0594 ValAcc20.36
Server Batch[150/500] KD:0.0614 ValAcc20.6
Server Batch[151/500] KD:0.0627 ValAcc19.78
Server Batch[152/500] KD:0.0585 ValAcc20.06
Server Batch[153/500] KD:0.0615 ValAcc19.6
Server Batch[154/500] KD:0.0610 ValAcc20.5
Server Batch[155/500] KD:0.0608 ValAcc19.96
Server Batch[156/500] KD:0.0594 ValAcc20.26
Server Batch[157/500] KD:0.0609 ValAcc20.2
Server Batch[158/500] KD:0.0662 ValAcc20.1
Server Batch[159/500] KD:0.0581 ValAcc19.82
Server Batch[160/500] KD:0.0600 ValAcc19.66
Server Batch[161/500] KD:0.0566 ValAcc20.0
Server Batch[162/500] KD:0.0578 ValAcc19.74
Server Batch[163/500] KD:0.0599 ValAcc19.76
Server Batch[164/500] KD:0.0578 ValAcc20.2
Server Batch[165/500] KD:0.0581 ValAcc19.78
Server Batch[166/500] KD:0.0597 ValAcc20.32
Server Batch[167/500] KD:0.0595 ValAcc20.28
Server Batch[168/500] KD:0.0585 ValAcc19.98
Server Batch[169/500] KD:0.0577 ValAcc20.28
Server Batch[170/500] KD:0.0662 ValAcc20.36
Server Batch[171/500] KD:0.0569 ValAcc19.94
Server Batch[172/500] KD:0.0580 ValAcc20.18
Server Batch[173/500] KD:0.0590 ValAcc20.32
Server Batch[174/500] KD:0.0574 ValAcc20.7
Server Batch[175/500] KD:0.0561 ValAcc20.34
Server Batch[176/500] KD:0.0587 ValAcc20.32
Server Batch[177/500] KD:0.0570 ValAcc20.4
Server Batch[178/500] KD:0.0595 ValAcc20.08
Server Batch[179/500] KD:0.0558 ValAcc20.04
Server Batch[180/500] KD:0.0583 ValAcc19.92
Server Batch[181/500] KD:0.0580 ValAcc20.62
Server Batch[182/500] KD:0.0569 ValAcc20.56
Server Batch[183/500] KD:0.0589 ValAcc19.84
Server Batch[184/500] KD:0.0568 ValAcc20.34
Server Batch[185/500] KD:0.0570 ValAcc19.92
Server Batch[186/500] KD:0.0552 ValAcc20.18
Server Batch[187/500] KD:0.0558 ValAcc20.72
Server Batch[188/500] KD:0.0611 ValAcc20.52
Server Batch[189/500] KD:0.0575 ValAcc21.04
Server Batch[190/500] KD:0.0556 ValAcc20.5
Server Batch[191/500] KD:0.0563 ValAcc20.5
Server Batch[192/500] KD:0.0558 ValAcc20.32
Server Batch[193/500] KD:0.0578 ValAcc20.52
Server Batch[194/500] KD:0.0597 ValAcc20.68
Server Batch[195/500] KD:0.0564 ValAcc20.64
Server Batch[196/500] KD:0.0568 ValAcc20.92
Server Batch[197/500] KD:0.0571 ValAcc21.24
Server Batch[198/500] KD:0.0543 ValAcc20.44
Server Batch[199/500] KD:0.0547 ValAcc20.4
Server Batch[200/500] KD:0.0564 ValAcc20.72
Server Batch[201/500] KD:0.0548 ValAcc20.12
Server Batch[202/500] KD:0.0555 ValAcc20.3
Server Batch[203/500] KD:0.0575 ValAcc20.0
Server Batch[204/500] KD:0.0562 ValAcc20.3
Server Batch[205/500] KD:0.0538 ValAcc20.42
Server Batch[206/500] KD:0.0558 ValAcc20.18
Server Batch[207/500] KD:0.0524 ValAcc21.1
Server Batch[208/500] KD:0.0542 ValAcc20.76
Server Batch[209/500] KD:0.0545 ValAcc21.32
Server Batch[210/500] KD:0.0546 ValAcc21.26
Server Batch[211/500] KD:0.0560 ValAcc20.72
Server Batch[212/500] KD:0.0513 ValAcc20.74
Server Batch[213/500] KD:0.0541 ValAcc20.62
Server Batch[214/500] KD:0.0535 ValAcc20.72
Server Batch[215/500] KD:0.0662 ValAcc20.24
Server Batch[216/500] KD:0.0531 ValAcc20.86
Server Batch[217/500] KD:0.0548 ValAcc20.9
Server Batch[218/500] KD:0.0533 ValAcc20.6
Server Batch[219/500] KD:0.0521 ValAcc21.24
Server Batch[220/500] KD:0.0557 ValAcc20.8
Server Batch[221/500] KD:0.0530 ValAcc21.1
Server Batch[222/500] KD:0.0530 ValAcc20.6
Server Batch[223/500] KD:0.0537 ValAcc20.94
Server Batch[224/500] KD:0.0545 ValAcc20.78
Server Batch[225/500] KD:0.0536 ValAcc20.48
Server Batch[226/500] KD:0.0547 ValAcc20.14
Server Batch[227/500] KD:0.0533 ValAcc20.92
Server Batch[228/500] KD:0.0531 ValAcc20.68
Server Batch[229/500] KD:0.0537 ValAcc20.66
Server Batch[230/500] KD:0.0551 ValAcc20.88
Server Batch[231/500] KD:0.0525 ValAcc20.7
Server Batch[232/500] KD:0.0525 ValAcc20.46
Server Batch[233/500] KD:0.0505 ValAcc20.74
Server Batch[234/500] KD:0.0530 ValAcc21.22
Server Batch[235/500] KD:0.0524 ValAcc20.9
Server Batch[236/500] KD:0.0549 ValAcc20.62
Server Batch[237/500] KD:0.0497 ValAcc20.32
Server Batch[238/500] KD:0.0536 ValAcc20.04
Server Batch[239/500] KD:0.0512 ValAcc20.62
Server Batch[240/500] KD:0.0511 ValAcc20.92
Server Batch[241/500] KD:0.0519 ValAcc20.4
Server Batch[242/500] KD:0.0547 ValAcc20.58
Server Batch[243/500] KD:0.0522 ValAcc20.56
Server Batch[244/500] KD:0.0517 ValAcc20.74
Server Batch[245/500] KD:0.0511 ValAcc20.52
Server Batch[246/500] KD:0.0513 ValAcc20.74
Server Batch[247/500] KD:0.0530 ValAcc20.86
Server Batch[248/500] KD:0.0535 ValAcc20.88
Server Batch[249/500] KD:0.0512 ValAcc21.02
Server Batch[250/500] KD:0.0506 ValAcc20.7
Server Batch[251/500] KD:0.0516 ValAcc20.78
Server Batch[252/500] KD:0.0509 ValAcc20.82
