img_resolution 32
Files already downloaded and verified
img_resolution 32
Files already downloaded and verified
cifar_noniid 50000 100 dir
5000 41000 4000
cifar_noniid 10000 100 dir
0 6000 4000
kd_idx len 5000 out of 5000
Successfully loaded weights from pretrained resnet
self.update_layer_name was defined. ['adapter', 'bn1', 'bn2', 'fc.weight', 'fc.bias']
local finetune 확인####################: False
personalized cli 4 ep 0 batch 168  train Loss: 4.240 | Acc:38.092% | total 2704
Computing loss landscape: alpha=-0.60, beta=0.20, loss=4.2485
Computing loss landscape: alpha=-0.60, beta=0.30, loss=4.2398
Computing loss landscape: alpha=-0.60, beta=0.40, loss=4.2490
Computing loss landscape: alpha=-0.60, beta=0.50, loss=4.2462
Computing loss landscape: alpha=-0.60, beta=0.60, loss=4.2500
Computing loss landscape: alpha=-0.60, beta=0.70, loss=4.2367
Computing loss landscape: alpha=-0.60, beta=0.80, loss=4.2483
Computing loss landscape: alpha=-0.60, beta=0.90, loss=4.2468
Computing loss landscape: alpha=-0.60, beta=1.00, loss=4.2503
Computing loss landscape: alpha=-0.50, beta=-1.00, loss=4.2540
Computing loss landscape: alpha=-0.50, beta=-0.90, loss=4.2422
Computing loss landscape: alpha=-0.50, beta=-0.80, loss=4.2490
Computing loss landscape: alpha=-0.50, beta=-0.70, loss=4.2399
Computing loss landscape: alpha=-0.50, beta=-0.60, loss=4.2454
Computing loss landscape: alpha=-0.50, beta=-0.50, loss=4.2495
Computing loss landscape: alpha=-0.50, beta=-0.40, loss=4.2485
Computing loss landscape: alpha=-0.50, beta=-0.30, loss=4.2486
Computing loss landscape: alpha=-0.50, beta=-0.20, loss=4.2432
Computing loss landscape: alpha=-0.50, beta=-0.10, loss=4.2456
Computing loss landscape: alpha=-0.50, beta=0.00, loss=4.2556
Computing loss landscape: alpha=-0.50, beta=0.10, loss=4.2434
Computing loss landscape: alpha=-0.50, beta=0.20, loss=4.2556
Computing loss landscape: alpha=-0.50, beta=0.30, loss=4.2495
Computing loss landscape: alpha=-0.50, beta=0.40, loss=4.2484
Computing loss landscape: alpha=-0.50, beta=0.50, loss=4.2491
Computing loss landscape: alpha=-0.50, beta=0.60, loss=4.2436
Computing loss landscape: alpha=-0.50, beta=0.70, loss=4.2495
Computing loss landscape: alpha=-0.50, beta=0.80, loss=4.2481
Computing loss landscape: alpha=-0.50, beta=0.90, loss=4.2469
Computing loss landscape: alpha=-0.50, beta=1.00, loss=4.2469
Computing loss landscape: alpha=-0.40, beta=-1.00, loss=4.2484
Computing loss landscape: alpha=-0.40, beta=-0.90, loss=4.2471
Computing loss landscape: alpha=-0.40, beta=-0.80, loss=4.2521
Computing loss landscape: alpha=-0.40, beta=-0.70, loss=4.2451
Computing loss landscape: alpha=-0.40, beta=-0.60, loss=4.2472
Computing loss landscape: alpha=-0.40, beta=-0.50, loss=4.2461
Computing loss landscape: alpha=-0.40, beta=-0.40, loss=4.2445
Computing loss landscape: alpha=-0.40, beta=-0.30, loss=4.2474
Computing loss landscape: alpha=-0.40, beta=-0.20, loss=4.2447
Computing loss landscape: alpha=-0.40, beta=-0.10, loss=4.2414
Computing loss landscape: alpha=-0.40, beta=0.00, loss=4.2541
Computing loss landscape: alpha=-0.40, beta=0.10, loss=4.2439
Computing loss landscape: alpha=-0.40, beta=0.20, loss=4.2498
Computing loss landscape: alpha=-0.40, beta=0.30, loss=4.2485
Computing loss landscape: alpha=-0.40, beta=0.40, loss=4.2473
Computing loss landscape: alpha=-0.40, beta=0.50, loss=4.2496
Computing loss landscape: alpha=-0.40, beta=0.60, loss=4.2416
Computing loss landscape: alpha=-0.40, beta=0.70, loss=4.2520
Computing loss landscape: alpha=-0.40, beta=0.80, loss=4.2474
Computing loss landscape: alpha=-0.40, beta=0.90, loss=4.2487
Computing loss landscape: alpha=-0.40, beta=1.00, loss=4.2495
Computing loss landscape: alpha=-0.30, beta=-1.00, loss=4.2501
Computing loss landscape: alpha=-0.30, beta=-0.90, loss=4.2527
Computing loss landscape: alpha=-0.30, beta=-0.80, loss=4.2455
Computing loss landscape: alpha=-0.30, beta=-0.70, loss=4.2439
Computing loss landscape: alpha=-0.30, beta=-0.60, loss=4.2494
Computing loss landscape: alpha=-0.30, beta=-0.50, loss=4.2494
Computing loss landscape: alpha=-0.30, beta=-0.40, loss=4.2463
Computing loss landscape: alpha=-0.30, beta=-0.30, loss=4.2399
Computing loss landscape: alpha=-0.30, beta=-0.20, loss=4.2498
Computing loss landscape: alpha=-0.30, beta=-0.10, loss=4.2449
Computing loss landscape: alpha=-0.30, beta=0.00, loss=4.2509
Computing loss landscape: alpha=-0.30, beta=0.10, loss=4.2445
Computing loss landscape: alpha=-0.30, beta=0.20, loss=4.2475
Computing loss landscape: alpha=-0.30, beta=0.30, loss=4.2451
Computing loss landscape: alpha=-0.30, beta=0.40, loss=4.2496
Computing loss landscape: alpha=-0.30, beta=0.50, loss=4.2482
Computing loss landscape: alpha=-0.30, beta=0.60, loss=4.2535
Computing loss landscape: alpha=-0.30, beta=0.70, loss=4.2478
Computing loss landscape: alpha=-0.30, beta=0.80, loss=4.2453
Computing loss landscape: alpha=-0.30, beta=0.90, loss=4.2484
Computing loss landscape: alpha=-0.30, beta=1.00, loss=4.2473
Computing loss landscape: alpha=-0.20, beta=-1.00, loss=4.2495
Computing loss landscape: alpha=-0.20, beta=-0.90, loss=4.2480
Computing loss landscape: alpha=-0.20, beta=-0.80, loss=4.2490
Computing loss landscape: alpha=-0.20, beta=-0.70, loss=4.2514
Computing loss landscape: alpha=-0.20, beta=-0.60, loss=4.2508
Computing loss landscape: alpha=-0.20, beta=-0.50, loss=4.2464
Computing loss landscape: alpha=-0.20, beta=-0.40, loss=4.2454
Computing loss landscape: alpha=-0.20, beta=-0.30, loss=4.2491
Computing loss landscape: alpha=-0.20, beta=-0.20, loss=4.2532
Computing loss landscape: alpha=-0.20, beta=-0.10, loss=4.2553
Computing loss landscape: alpha=-0.20, beta=0.00, loss=4.2503
Computing loss landscape: alpha=-0.20, beta=0.10, loss=4.2467
Computing loss landscape: alpha=-0.20, beta=0.20, loss=4.2554
Computing loss landscape: alpha=-0.20, beta=0.30, loss=4.2441
Computing loss landscape: alpha=-0.20, beta=0.40, loss=4.2464
Computing loss landscape: alpha=-0.20, beta=0.50, loss=4.2464
Computing loss landscape: alpha=-0.20, beta=0.60, loss=4.2526
Computing loss landscape: alpha=-0.20, beta=0.70, loss=4.2457
Computing loss landscape: alpha=-0.20, beta=0.80, loss=4.2475
Computing loss landscape: alpha=-0.20, beta=0.90, loss=4.2495
Computing loss landscape: alpha=-0.20, beta=1.00, loss=4.2465
Computing loss landscape: alpha=-0.10, beta=-1.00, loss=4.2523
Computing loss landscape: alpha=-0.10, beta=-0.90, loss=4.2497
Computing loss landscape: alpha=-0.10, beta=-0.80, loss=4.2414
Computing loss landscape: alpha=-0.10, beta=-0.70, loss=4.2466
Computing loss landscape: alpha=-0.10, beta=-0.60, loss=4.2471
Computing loss landscape: alpha=-0.10, beta=-0.50, loss=4.2486
Computing loss landscape: alpha=-0.10, beta=-0.40, loss=4.2516
Computing loss landscape: alpha=-0.10, beta=-0.30, loss=4.2424
Computing loss landscape: alpha=-0.10, beta=-0.20, loss=4.2461
Computing loss landscape: alpha=-0.10, beta=-0.10, loss=4.2466
Computing loss landscape: alpha=-0.10, beta=0.00, loss=4.2513
Computing loss landscape: alpha=-0.10, beta=0.10, loss=4.2451
Computing loss landscape: alpha=-0.10, beta=0.20, loss=4.2502
Computing loss landscape: alpha=-0.10, beta=0.30, loss=4.2417
Computing loss landscape: alpha=-0.10, beta=0.40, loss=4.2494
